route_id,service_id,trip_id,trip_headsign,direction_id
562,0000000042013091120140627,0001586462013091120140627,Susa',0
340,0000000052013091120140627,0001586502013091120140627,Mezzocorona-Staz.Fs,1
69,0000000022013091120140627,0001586512013091120140627,Trento-Autostaz.,1
556,0000000022013091120140627,0001586622013091120140627,Assizzi,0
556,0000000022013091120140627,0001586632013091120140627,Pergine V.-C.Intermodale,1
324,0000000022013091120140627,0001586702013091120140627,Piazzola,0
345,0000000042013091120140627,0001586722013091120140627,Mezzocorona-Staz.Fs,0
55,0000000022013091120140627,0001586842013091120140627,Egna-Neumarkt,0
55,0000000022013091120140627,0001586852013091120140627,S.Michele A/Adige,0
562,0000000062013091120140627,0001586922013091120140627,S.Vito di Pergine,0
562,0000000052013091120140627,0001586942013091120140627,S.Vito di Pergine,0
188,0000000052013091120140627,0001586952013091120140627,Tenna,0
549,0000000052013091120140627,0001586972013091120140627,Nogare',0
179,0000000052013091120140627,0001586982013091120140627,Pergine V.-C.Intermodale,1
357,0000000052013091120140627,0001587072013091120140627,Lanza di Rumo,0
357,0000000022013091120140627,0001587082013091120140627,Lanza di Rumo,0
357,0000000022013091120140627,0001587092013091120140627,Lanza di Rumo,0
357,0000000072013091120140627,0001587112013091120140627,Cles-Autostazione,1
357,0000000022013091120140627,0001587122013091120140627,Cles-Autostazione,1
186,0000000022013091120140627,0001587132013091120140627,Centa,0
186,0000000042013091120140627,0001587142013091120140627,Centa,0
186,0000000042013091120140627,0001587172013091120140627,Centa,0
186,0000000022013091120140627,0001587192013091120140627,Centa,0
186,0000000042013091120140627,0001587202013091120140627,Trento-Autostaz.,1
186,0000000022013091120140627,0001587212013091120140627,Trento-Autostaz.,1
186,0000000022013091120140627,0001587222013091120140627,Trento-Autostaz.,1
186,0000000022013091120140627,0001587232013091120140627,Trento-Autostaz.,1
186,0000000042013091120140627,0001587242013091120140627,Trento-Autostaz.,1
186,0000000052013091120140627,0001587252013091120140627,Trento-Autostaz.,1
186,0000000052013091120140627,0001587262013091120140627,Trento-Autostaz.,1
186,0000000022013091120140627,0001587272013091120140627,Trento-Autostaz.,1
186,0000000022013091120140627,0001587282013091120140627,Trento-Autostaz.,1
364,0000000052013091120140627,0001587422013091120140627,Cles-Autostazione,1
320,0000000022013091120140627,0001587612013091120140627,Tione Ospedale Civile,0
320,0000000022013091120140627,0001587622013091120140627,Tione Ospedale Civile,0
636,0000000062013091120140627,0001587642013091120140627,Carisolo,0
324,0000000072013091120140627,0001587672013091120140627,Somrabbi,0
320,0000000022013091120140627,0001587722013091120140627,Tione-Autostazione,1
320,0000000022013091120140627,0001587732013091120140627,Tione-Autostazione,1
636,0000000062013091120140627,0001587742013091120140627,Tione-Autostazione,1
551,0000000022013091120140627,0001587852013091120140627,Serso Centrale Idroelettrica,0
551,0000000022013091120140627,0001587862013091120140627,Serso Centrale Idroelettrica,0
551,0000000022013091120140627,0001587872013091120140627,Serso Centrale Idroelettrica,0
551,0000000022013091120140627,0001587882013091120140627,Serso Centrale Idroelettrica,0
551,0000000022013091120140627,0001587892013091120140627,Serso Centrale Idroelettrica,0
551,0000000042013091120140627,0001587902013091120140627,Serso Centrale Idroelettrica,0
551,0000000022013091120140627,0001587912013091120140627,Pergine V.-C.Intermodale,1
551,0000000022013091120140627,0001587922013091120140627,Pergine V.-C.Intermodale,1
551,0000000022013091120140627,0001587932013091120140627,Pergine V.-C.Intermodale,1
551,0000000022013091120140627,0001587942013091120140627,Pergine V.-C.Intermodale,1
551,0000000022013091120140627,0001587952013091120140627,Pergine V.-C.Intermodale,1
551,0000000042013091120140627,0001587962013091120140627,Pergine V.-C.Intermodale,1
343,0000000042013091120140627,0001588062013091120140627,Pineta di Faedo,0
343,0000000022013091120140627,0001588072013091120140627,Pineta di Faedo,0
343,0000000022013091120140627,0001588082013091120140627,Mezzocorona Ferrovia,1
343,0000000022013091120140627,0001588102013091120140627,Mezzocorona Ferrovia,1
357,0000000022013091120140627,0001588122013091120140627,Cles-Autostazione,1
366,0000000052013091120140627,0001588212013091120140627,Sporminore,0
366,0000000022013091120140627,0001588222013091120140627,Mezzolombardo,1
375,0000000062013091120140627,0001588392013091120140627,Dambel,0
357,0000000072013091120140627,0001588402013091120140627,Lanza di Rumo,0
357,0000000022013091120140627,0001588412013091120140627,Lanza di Rumo,0
324,0000000022013091120140627,0001588442013091120140627,Male',1
324,0000000072013091120140627,0001588452013091120140627,Male',1
300,0000000022013091120140627,0001588472013091120140627,Pergine V.,1
423,0000000052013091120140627,0001588892013091120140627,Arco-Autostaz.,0
417,0000000022013091120140627,0001589022013091120140627,Arco-Autostaz.,0
417,0000000052013091120140627,0001589082013091120140627,Riva Del G.-Autostaz.,1
417,0000000022013091120140627,0001589092013091120140627,Nago,1
417,0000000022013091120140627,0001589132013091120140627,Nago,1
153,0000000052013091120140627,0001589152013091120140627,Ville Del Monte,1
300,0000000052013091120140627,0001589282013091120140627,Pergine V.,1
580,0000000022013091120140627,0001589312013091120140627,Ronchi di Ala,0
